"year","iso3","country","variable","mean_annual_climate_value","measure_id","measure_name","location_id","location_name","sex_id","sex_name","age_id","age_name","cause_id","cause_name","metric_id","metric_name","malaria_value","malaria_upperCI","malaria_lowerCI","refugee_type","num_refugee_persons","urban_perc"
1991,"AFG"," Afghanistan","mean_temp_celcius",12.8944875,6,"Incidence",160,"Afghanistan",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",0.020852749871,0.0272082029213,0.016091258498,"Refugees (incl. refugee-like situations)",38,21.266
1991,"AFG"," Afghanistan","mean_temp_celcius",12.8944875,6,"Incidence",160,"Afghanistan",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",0.020852749871,0.0272082029213,0.016091258498,"Asylum-seekers (pending cases)",0,21.266
1991,"AFG"," Afghanistan","mean_temp_celcius",12.8944875,6,"Incidence",160,"Afghanistan",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",0.020852749871,0.0272082029213,0.016091258498,"Returned refugees",0,21.266
1991,"AFG"," Afghanistan","mean_temp_celcius",12.8944875,6,"Incidence",160,"Afghanistan",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",0.020852749871,0.0272082029213,0.016091258498,"Internally displaced persons (IDPs)",0,21.266
1991,"AFG"," Afghanistan","mean_temp_celcius",12.8944875,6,"Incidence",160,"Afghanistan",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",0.020852749871,0.0272082029213,0.016091258498,"Returned IDPs",0,21.266
1991,"AFG"," Afghanistan","mean_temp_celcius",12.8944875,6,"Incidence",160,"Afghanistan",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",0.020852749871,0.0272082029213,0.016091258498,"Stateless persons",0,21.266
1991,"AFG"," Afghanistan","mean_temp_celcius",12.8944875,6,"Incidence",160,"Afghanistan",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",0.020852749871,0.0272082029213,0.016091258498,"Others of concern",0,21.266
1991,"AFG"," Afghanistan","mean_temp_celcius",12.8944875,6,"Incidence",160,"Afghanistan",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",0.020852749871,0.0272082029213,0.016091258498,"Total Population",38,21.266
1991,"AGO"," Angola","mean_temp_celcius",21.7168833333333,6,"Incidence",168,"Angola",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",0.0286028788351,0.0419692732353,0.0164356429209,"Refugees (incl. refugee-like situations)",11022,38.58
1991,"AGO"," Angola","mean_temp_celcius",21.7168833333333,6,"Incidence",168,"Angola",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",0.0286028788351,0.0419692732353,0.0164356429209,"Asylum-seekers (pending cases)",0,38.58
1991,"AGO"," Angola","mean_temp_celcius",21.7168833333333,6,"Incidence",168,"Angola",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",0.0286028788351,0.0419692732353,0.0164356429209,"Returned refugees",2100,38.58
1991,"AGO"," Angola","mean_temp_celcius",21.7168833333333,6,"Incidence",168,"Angola",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",0.0286028788351,0.0419692732353,0.0164356429209,"Internally displaced persons (IDPs)",0,38.58
1991,"AGO"," Angola","mean_temp_celcius",21.7168833333333,6,"Incidence",168,"Angola",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",0.0286028788351,0.0419692732353,0.0164356429209,"Returned IDPs",0,38.58
1991,"AGO"," Angola","mean_temp_celcius",21.7168833333333,6,"Incidence",168,"Angola",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",0.0286028788351,0.0419692732353,0.0164356429209,"Stateless persons",0,38.58
1991,"AGO"," Angola","mean_temp_celcius",21.7168833333333,6,"Incidence",168,"Angola",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",0.0286028788351,0.0419692732353,0.0164356429209,"Others of concern",0,38.58
1991,"AGO"," Angola","mean_temp_celcius",21.7168833333333,6,"Incidence",168,"Angola",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",0.0286028788351,0.0419692732353,0.0164356429209,"Total Population",13122,38.58
1991,"ARG"," Argentina","mean_temp_celcius",14.4340091666667,6,"Incidence",97,"Argentina",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",1.02422991646e-05,1.09679994737e-05,9.56418955923e-06,"Refugees (incl. refugee-like situations)",11529,87.328
1991,"ARG"," Argentina","mean_temp_celcius",14.4340091666667,6,"Incidence",97,"Argentina",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",1.02422991646e-05,1.09679994737e-05,9.56418955923e-06,"Asylum-seekers (pending cases)",0,87.328
1991,"ARG"," Argentina","mean_temp_celcius",14.4340091666667,6,"Incidence",97,"Argentina",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",1.02422991646e-05,1.09679994737e-05,9.56418955923e-06,"Returned refugees",810,87.328
1991,"ARG"," Argentina","mean_temp_celcius",14.4340091666667,6,"Incidence",97,"Argentina",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",1.02422991646e-05,1.09679994737e-05,9.56418955923e-06,"Internally displaced persons (IDPs)",0,87.328
1991,"ARG"," Argentina","mean_temp_celcius",14.4340091666667,6,"Incidence",97,"Argentina",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",1.02422991646e-05,1.09679994737e-05,9.56418955923e-06,"Returned IDPs",0,87.328
1991,"ARG"," Argentina","mean_temp_celcius",14.4340091666667,6,"Incidence",97,"Argentina",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",1.02422991646e-05,1.09679994737e-05,9.56418955923e-06,"Stateless persons",0,87.328
1991,"ARG"," Argentina","mean_temp_celcius",14.4340091666667,6,"Incidence",97,"Argentina",3,"Both",22,"All Ages",345,"Malaria",2,"Percent",1.02422991646e-05,1.09679994737e-05,9.56418955923e-06,"Others of concern",0,87.328
