"year","iso3","annual_precip","annual_precip_lag","annual_precip_km","temp_IQR","mean.pct.change","cause_name","measure_name","metric_name","location_name","disease_value","disease_upperCI","disease_lowerCI","country","num_refugee_persons","urban_perc","num_refugee_per_100k"
1991,"BEL",23604.19921875,29019.900390625,0.02360419921875,9.1444625,2.39162769627292,"Dengue","Incidence","Percent","Belgium",0,0,0,"Belgium",48142,96.461,0.48142
1991,"BEL",23604.19921875,29019.900390625,0.02360419921875,9.1444625,2.39162769627292,"Malaria","Incidence","Percent","Belgium",0,0,0,"Belgium",48142,96.461,0.48142
1991,"CYP",3663,2998,0.003663,10.593775,0.178545008715916,"Malaria","Incidence","Percent","Cyprus",0,0,0,"Cyprus",220,67.188,0.0022
1991,"CYP",3663,2998,0.003663,10.593775,0.178545008715916,"Dengue","Incidence","Percent","Cyprus",0,0,0,"Cyprus",220,67.188,0.0022
1991,"CZE",46687,48186,0.046687,12.610785,1.47733252517116,"Malaria","Incidence","Percent","Czech Republic",0,0,0,"Czech Rep.",1382,75.158,0.01382
1991,"CZE",46687,48186,0.046687,12.610785,1.47733252517116,"Dengue","Incidence","Percent","Czech Republic",0,0,0,"Czech Rep.",1382,75.158,0.01382
1991,"GBR",253169.5,300860.6875,0.2531695,6.25374,0.55795090565162,"Malaria","Incidence","Percent","United Kingdom",0,0,0,"United Kingdom",86742,78.112,0.86742
1991,"GBR",253169.5,300860.6875,0.2531695,6.25374,0.55795090565162,"Dengue","Incidence","Percent","United Kingdom",0,0,0,"United Kingdom",86742,78.112,0.86742
1991,"HUN",55480,45570,0.05548,13.2317475,1.61404066088391,"Malaria","Incidence","Percent","Hungary",0,0,0,"Hungary",162976,65.713,1.62976
1991,"HUN",55480,45570,0.05548,13.2317475,1.61404066088391,"Dengue","Incidence","Percent","Hungary",0,0,0,"Hungary",162976,65.713,1.62976
1991,"POL",188991.796875,170659.203125,0.188991796875,11.5416925,3.07328278526792,"Malaria","Incidence","Percent","Poland",0,0,0,"Poland",1100,61.315,0.011
1991,"POL",188991.796875,170659.203125,0.188991796875,11.5416925,3.07328278526792,"Dengue","Incidence","Percent","Poland",0,0,0,"Poland",1100,61.315,0.011
1992,"BEL",29019.900390625,28955.69921875,0.029019900390625,9.3786825,0.354454951224442,"Dengue","Incidence","Percent","Belgium",0,0,0,"Belgium",48584,96.542,0.48584
1992,"BEL",29019.900390625,28955.69921875,0.029019900390625,9.3786825,0.354454951224442,"Malaria","Incidence","Percent","Belgium",0,0,0,"Belgium",48584,96.542,0.48584
