"name","pop2019"
"Angola","31825.2950"
"Anguilla","14.8690"
"Antigua and Barbuda","97.1180"
"Aruba","106.3140"
"Bahamas","389.4820"
"Barbados","287.0250"
"Belize","390.3530"
"Benin","11801.1510"
"Bolivia","11513.1000"
"Brazil","211049.5270"
"British Virgin Islands","30.0300"
"Brunei","433.2850"
"Burkina Faso","20321.3780"
"Burundi","11530.5800"
"Cambodia","16486.5420"
"Cameroon","25876.3800"
"Cayman Islands","64.9480"
"Central African Republic","4745.1850"
"Chad","15946.8760"
"Colombia","50339.4430"
"Comoros","850.8860"
"Costa Rica","5047.5610"
"Cuba","11333.4830"
"Djibouti","973.5600"
"Dominica","71.8080"
"Dominican Republic","10738.9580"
"Ecuador","17373.6620"
"El Salvador","6453.5530"
"Equatorial Guinea","1355.9860"
"Eritrea","3497.1170"
"Ethiopia","112078.7300"
"French Guiana","290.8320"
"Gabon","2172.5790"
"Gambia","2347.7060"
"Grenada","112.0030"
"Guadeloupe","400.0560"
"Guatemala","17581.4720"
"Guinea","12771.2460"
"Guinea-Bissau","1920.9220"
"Guyana","782.7660"
"Haiti","11263.0770"
"Honduras","9746.1170"
"India","1366417.7540"
"Indonesia","270625.5680"
"Ivory Coast","25716.5440"
"Jamaica","2948.2790"
"Kenya","52573.9730"
"Laos","7169.4550"
"Liberia","4937.3740"
"Madagascar","26969.3070"
"Malawi","18628.7470"
"Malaysia","31949.7770"
"Mali","19658.0310"
"Martinique","375.5540"
"Mauritania","4525.6960"
"Mauritius","1269.6680"
"Mayotte","266.1500"
"Mexico","127575.5290"
"Montserrat","4.9890"
"Mozambique","30366.0360"
"Nicaragua","6545.5020"
"Niger","23310.7150"
"Nigeria","200963.5990"
"Panama","4246.4390"
"Paraguay","7044.6360"
"Peru","32510.4530"
"Philippines","108116.6150"
"Puerto Rico","2933.4080"
"Reunion","888.9270"
"Rwanda","12626.9500"
"Saint Kitts and Nevis","52.8230"
"Saint Lucia","182.7900"
"Saint Martin","38.0020"
"Saint Vincent and the Grenadines","110.5890"
"Sao Tome and Principe","215.0560"
"Senegal","16296.3640"
"Seychelles","97.7390"
"Sierra Leone","7813.2150"
"Singapore","5804.3370"
"Somalia","15442.9050"
"Sudan","42813.2380"
"Suriname","581.3720"
"Tanzania","58005.4630"
"Thailand","69625.5820"
"Timor-Leste","1293.1190"
"Togo","8082.3660"
"Trinidad and Tobago","1394.9730"
"Uganda","44269.5940"
"United States Virgin Islands","104.5780"
"Venezuela","28515.8290"
"Vietnam","96462.1060"
